Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
313.15	8.2680	7111.0	0.00014063	16.056	17.219	71.196	47.440	292.81	201.80	7.3325	23.481	0.050324	supercritical
313.15	8.2920	7194.8	0.00013899	16.015	17.167	71.019	47.637	301.79	201.46	7.2772	23.656	0.051018	supercritical
313.15	8.3160	7281.3	0.00013734	15.972	17.114	70.838	47.837	311.24	201.13	7.2202	23.839	0.051733	supercritical
313.15	8.3400	7370.3	0.00013568	15.928	17.059	70.653	48.040	321.17	200.79	7.1613	24.029	0.052470	supercritical
313.15	8.3640	7462.2	0.00013401	15.882	17.003	70.464	48.246	331.61	200.47	7.1005	24.229	0.053229	supercritical
313.15	8.3880	7556.9	0.00013233	15.836	16.946	70.272	48.454	342.58	200.14	7.0378	24.437	0.054010	supercritical
313.15	8.4120	7654.7	0.00013064	15.789	16.888	70.075	48.664	354.09	199.82	6.9731	24.655	0.054812	supercritical
313.15	8.4360	7755.7	0.00012894	15.740	16.828	69.873	48.876	366.15	199.51	6.9064	24.883	0.055637	supercritical
313.15	8.4600	7860.0	0.00012723	15.690	16.766	69.667	49.090	378.79	199.21	6.8377	25.122	0.056482	supercritical
313.15	8.4840	7967.8	0.00012550	15.638	16.703	69.457	49.304	392.01	198.91	6.7670	25.373	0.057349	supercritical
313.15	8.5080	8079.2	0.00012377	15.586	16.639	69.241	49.518	405.81	198.63	6.6942	25.636	0.058236	supercritical
313.15	8.5320	8194.4	0.00012203	15.532	16.573	69.021	49.730	420.18	198.36	6.6194	25.913	0.059141	supercritical
313.15	8.5560	8313.5	0.00012029	15.476	16.505	68.796	49.940	435.11	198.11	6.5425	26.203	0.060064	supercritical
313.15	8.5800	8436.6	0.00011853	15.419	16.436	68.566	50.146	450.55	197.88	6.4636	26.508	0.061002	supercritical
313.15	8.6040	8563.8	0.00011677	15.361	16.365	68.332	50.346	466.44	197.67	6.3825	26.829	0.061952	supercritical
313.15	8.6280	8695.2	0.00011501	15.301	16.293	68.092	50.539	482.67	197.51	6.2992	27.166	0.062910	supercritical
313.15	8.6520	8830.8	0.00011324	15.240	16.220	67.848	50.721	499.07	197.38	6.2138	27.520	0.063869	supercritical
313.15	8.6760	8970.6	0.00011147	15.177	16.144	67.600	50.890	515.40	197.31	6.1260	27.891	0.064821	supercritical
313.15	8.7000	9114.5	0.00010972	15.114	16.068	67.347	51.045	531.35	197.29	6.0359	28.280	0.065757	supercritical
313.15	8.7240	9262.2	0.00010797	15.049	15.991	67.091	51.181	546.51	197.35	5.9434	28.687	0.066663	supercritical
313.15	8.7480	9413.4	0.00010623	14.983	15.912	66.833	51.297	560.40	197.50	5.8486	29.111	0.067526	supercritical
313.15	8.7720	9567.5	0.00010452	14.917	15.833	66.573	51.391	572.48	197.73	5.7516	29.552	0.068331	supercritical
313.15	8.7960	9723.9	0.00010284	14.850	15.754	66.313	51.460	582.26	198.07	5.6527	30.009	0.069063	supercritical
313.15	8.8200	9881.8	0.00010120	14.783	15.676	66.053	51.503	589.30	198.51	5.5524	30.478	0.069711	supercritical
313.15	8.8440	10040.	9.9599e-05	14.717	15.597	65.796	51.521	593.34	199.06	5.4511	30.959	0.070268	supercritical
313.15	8.8680	10198.	9.8054e-05	14.651	15.520	65.543	51.512	594.30	199.72	5.3496	31.447	0.070732	supercritical
313.15	8.8920	10355.	9.6567e-05	14.586	15.445	65.294	51.478	592.36	200.48	5.2484	31.942	0.071108	supercritical
313.15	8.9160	10510.	9.5143e-05	14.523	15.371	65.052	51.422	587.90	201.34	5.1483	32.439	0.071404	supercritical
313.15	8.9400	10663.	9.3783e-05	14.461	15.300	64.816	51.344	582.00	202.28	5.0505	32.936	0.071653	supercritical
313.15	8.9640	10813.	9.2484e-05	14.401	15.230	64.587	51.247	576.06	203.28	4.9563	33.434	0.071895	supercritical
313.15	8.9880	10959.	9.1245e-05	14.343	15.163	64.364	51.133	568.85	204.38	4.8640	33.930	0.072093	supercritical
313.15	9.0120	11103.	9.0066e-05	14.286	15.097	64.149	51.003	560.40	205.55	4.7735	34.424	0.072248	supercritical
313.15	9.0360	11243.	8.8944e-05	14.231	15.034	63.940	50.861	550.83	206.81	4.6849	34.913	0.072361	supercritical
313.15	9.0600	11379.	8.7880e-05	14.177	14.974	63.739	50.707	540.31	208.15	4.5982	35.396	0.072435	supercritical
313.15	9.0840	11511.	8.6872e-05	14.126	14.915	63.546	50.543	529.00	209.56	4.5135	35.872	0.072474	supercritical
313.15	9.1080	11639.	8.5918e-05	14.076	14.859	63.360	50.372	517.08	211.04	4.4308	36.339	0.072483	supercritical
313.15	9.1320	11763.	8.5016e-05	14.029	14.805	63.182	50.196	504.75	212.57	4.3504	36.797	0.072465	supercritical
313.15	9.1560	11882.	8.4163e-05	13.983	14.754	63.011	50.016	492.18	214.15	4.2721	37.245	0.072425	supercritical
313.15	9.1800	11997.	8.3357e-05	13.939	14.704	62.846	49.833	479.54	215.77	4.1961	37.683	0.072369	supercritical
313.15	9.2040	12107.	8.2596e-05	13.897	14.657	62.689	49.648	466.98	217.42	4.1224	38.110	0.072299	supercritical
313.15	9.2280	12214.	8.1876e-05	13.856	14.612	62.539	49.464	454.62	219.10	4.0510	38.525	0.072222	supercritical
313.15	9.2520	12316.	8.1195e-05	13.817	14.568	62.394	49.281	442.57	220.80	3.9820	38.930	0.072139	supercritical
313.15	9.2760	12415.	8.0550e-05	13.780	14.527	62.256	49.099	430.90	222.50	3.9153	39.323	0.072055	supercritical
313.15	9.3000	12509.	7.9940e-05	13.744	14.487	62.123	48.919	419.67	224.22	3.8509	39.706	0.071972	supercritical
313.15	9.3240	12601.	7.9360e-05	13.710	14.449	61.996	48.742	408.91	225.94	3.7887	40.078	0.071892	supercritical
313.15	9.3480	12689.	7.8810e-05	13.676	14.413	61.873	48.569	398.63	227.66	3.7287	40.441	0.071816	supercritical
313.15	9.3720	12774.	7.8287e-05	13.644	14.378	61.756	48.399	388.85	229.38	3.6708	40.793	0.071745	supercritical
313.15	9.3960	12855.	7.7789e-05	13.614	14.345	61.643	48.232	379.56	231.09	3.6149	41.136	0.071681	supercritical
313.15	9.4200	12934.	7.7314e-05	13.584	14.312	61.534	48.070	370.74	232.80	3.5610	41.471	0.071624	supercritical
313.15	9.4440	13011.	7.6860e-05	13.555	14.281	61.428	47.912	362.37	234.49	3.5089	41.796	0.071573	supercritical
313.15	9.4680	13084.	7.6427e-05	13.528	14.251	61.327	47.758	354.44	236.18	3.4585	42.114	0.071530	supercritical
313.15	9.4920	13156.	7.6012e-05	13.501	14.222	61.229	47.608	346.92	237.85	3.4099	42.423	0.071494	supercritical
313.15	9.5160	13225.	7.5615e-05	13.475	14.194	61.134	47.463	339.78	239.51	3.3628	42.726	0.071464	supercritical
313.15	9.5400	13292.	7.5234e-05	13.450	14.167	61.042	47.321	333.01	241.16	3.3173	43.021	0.071441	supercritical
313.15	9.5640	13357.	7.4868e-05	13.425	14.141	60.953	47.184	326.58	242.79	3.2732	43.309	0.071424	supercritical
313.15	9.5880	13420.	7.4516e-05	13.402	14.116	60.866	47.051	320.47	244.41	3.2306	43.591	0.071413	supercritical
313.15	9.6120	13481.	7.4177e-05	13.379	14.092	60.783	46.922	314.65	246.02	3.1892	43.867	0.071407	supercritical
313.15	9.6360	13541.	7.3850e-05	13.356	14.068	60.701	46.797	309.11	247.61	3.1490	44.137	0.071407	supercritical
313.15	9.6600	13599.	7.3536e-05	13.335	14.045	60.622	46.675	303.83	249.18	3.1101	44.401	0.071411	supercritical
313.15	9.6840	13655.	7.3232e-05	13.313	14.023	60.545	46.557	298.78	250.74	3.0723	44.660	0.071421	supercritical
313.15	9.7080	13710.	7.2938e-05	13.293	14.001	60.470	46.443	293.97	252.29	3.0356	44.913	0.071435	supercritical
313.15	9.7320	13764.	7.2655e-05	13.273	13.980	60.397	46.332	289.36	253.82	2.9999	45.162	0.071452	supercritical
313.15	9.7560	13816.	7.2380e-05	13.253	13.959	60.326	46.224	284.96	255.33	2.9652	45.405	0.071474	supercritical
313.15	9.7800	13867.	7.2114e-05	13.234	13.939	60.256	46.120	280.74	256.83	2.9314	45.645	0.071500	supercritical
313.15	9.8040	13917.	7.1857e-05	13.215	13.920	60.189	46.019	276.69	258.32	2.8986	45.879	0.071528	supercritical
313.15	9.8280	13965.	7.1607e-05	13.197	13.901	60.122	45.920	272.80	259.78	2.8666	46.110	0.071560	supercritical
313.15	9.8520	14013.	7.1364e-05	13.179	13.882	60.058	45.825	269.07	261.24	2.8354	46.336	0.071595	supercritical
313.15	9.8760	14059.	7.1129e-05	13.162	13.864	59.995	45.732	265.49	262.68	2.8051	46.559	0.071633	supercritical
313.15	9.9000	14104.	7.0900e-05	13.144	13.846	59.933	45.642	262.04	264.10	2.7754	46.778	0.071673	supercritical
313.15	9.9240	14149.	7.0677e-05	13.128	13.829	59.872	45.554	258.72	265.52	2.7466	46.993	0.071716	supercritical
313.15	9.9480	14192.	7.0461e-05	13.111	13.812	59.813	45.469	255.52	266.91	2.7184	47.204	0.071762	supercritical
313.15	9.9720	14235.	7.0250e-05	13.095	13.796	59.755	45.386	252.44	268.29	2.6909	47.413	0.071809	supercritical
313.15	9.9960	14277.	7.0045e-05	13.079	13.780	59.698	45.306	249.47	269.66	2.6640	47.618	0.071858	supercritical
313.15	10.020	14317.	6.9845e-05	13.064	13.764	59.642	45.227	246.60	271.02	2.6378	47.819	0.071910	supercritical
313.15	10.044	14358.	6.9650e-05	13.049	13.748	59.588	45.151	243.83	272.36	2.6122	48.018	0.071963	supercritical
313.15	10.068	14397.	6.9460e-05	13.034	13.733	59.534	45.077	241.15	273.69	2.5872	48.214	0.072018	supercritical
313.15	10.092	14435.	6.9274e-05	13.019	13.718	59.481	45.004	238.56	275.00	2.5627	48.407	0.072074	supercritical
313.15	10.116	14473.	6.9093e-05	13.005	13.704	59.430	44.934	236.06	276.31	2.5387	48.597	0.072132	supercritical
313.15	10.140	14511.	6.8916e-05	12.991	13.690	59.379	44.865	233.63	277.60	2.5153	48.785	0.072191	supercritical
313.15	10.164	14547.	6.8743e-05	12.977	13.676	59.329	44.798	231.29	278.87	2.4924	48.970	0.072252	supercritical
313.15	10.188	14583.	6.8573e-05	12.963	13.662	59.280	44.733	229.01	280.14	2.4699	49.152	0.072314	supercritical
313.15	10.212	14618.	6.8408e-05	12.950	13.649	59.232	44.670	226.81	281.39	2.4479	49.332	0.072377	supercritical
313.15	10.236	14653.	6.8246e-05	12.937	13.635	59.184	44.608	224.67	282.63	2.4264	49.510	0.072440	supercritical
313.15	10.260	14687.	6.8088e-05	12.924	13.622	59.138	44.547	222.59	283.86	2.4053	49.686	0.072505	supercritical
313.15	10.284	14721.	6.7932e-05	12.911	13.610	59.092	44.488	220.58	285.08	2.3847	49.859	0.072571	supercritical
313.15	10.308	14754.	6.7780e-05	12.898	13.597	59.047	44.430	218.62	286.29	2.3644	50.030	0.072638	supercritical
313.15	10.332	14786.	6.7632e-05	12.886	13.585	59.002	44.374	216.72	287.48	2.3445	50.199	0.072706	supercritical
313.15	10.356	14818.	6.7486e-05	12.874	13.573	58.958	44.319	214.87	288.67	2.3251	50.366	0.072774	supercritical
313.15	10.380	14849.	6.7343e-05	12.862	13.561	58.915	44.265	213.08	289.84	2.3059	50.531	0.072843	supercritical
313.15	10.404	14880.	6.7202e-05	12.850	13.549	58.873	44.213	211.33	291.00	2.2872	50.694	0.072913	supercritical
313.15	10.428	14911.	6.7064e-05	12.838	13.538	58.831	44.162	209.63	292.16	2.2688	50.855	0.072983	supercritical
313.15	10.452	14941.	6.6929e-05	12.827	13.526	58.790	44.111	207.97	293.30	2.2507	51.014	0.073054	supercritical
313.15	10.476	14971.	6.6797e-05	12.815	13.515	58.749	44.062	206.36	294.44	2.2330	51.172	0.073125	supercritical
313.15	10.500	15000.	6.6666e-05	12.804	13.504	58.709	44.014	204.79	295.56	2.2156	51.328	0.073197	supercritical
313.15	10.524	15029.	6.6538e-05	12.793	13.493	58.669	43.968	203.26	296.67	2.1985	51.482	0.073269	supercritical
313.15	10.548	15057.	6.6413e-05	12.782	13.483	58.630	43.922	201.77	297.78	2.1816	51.634	0.073341	supercritical
313.15	10.572	15085.	6.6289e-05	12.771	13.472	58.591	43.877	200.31	298.87	2.1651	51.785	0.073414	supercritical
313.15	10.596	15113.	6.6168e-05	12.761	13.462	58.553	43.833	198.89	299.96	2.1489	51.935	0.073488	supercritical
313.15	10.620	15140.	6.6048e-05	12.750	13.452	58.516	43.790	197.51	301.04	2.1329	52.083	0.073561	supercritical
313.15	10.644	15167.	6.5931e-05	12.740	13.442	58.479	43.748	196.15	302.11	2.1172	52.229	0.073635	supercritical
313.15	10.668	15194.	6.5815e-05	12.730	13.432	58.442	43.706	194.83	303.17	2.1018	52.374	0.073709	supercritical
313.15	10.692	15220.	6.5702e-05	12.720	13.422	58.406	43.666	193.54	304.22	2.0866	52.518	0.073783	supercritical
313.15	10.716	15246.	6.5590e-05	12.710	13.412	58.370	43.626	192.28	305.27	2.0716	52.660	0.073858	supercritical
313.15	10.740	15272.	6.5480e-05	12.700	13.403	58.335	43.587	191.05	306.30	2.0569	52.801	0.073933	supercritical
313.15	10.764	15297.	6.5371e-05	12.690	13.394	58.300	43.549	189.85	307.33	2.0425	52.940	0.074007	supercritical
313.15	10.788	15322.	6.5265e-05	12.680	13.384	58.265	43.512	188.67	308.35	2.0282	53.079	0.074082	supercritical
313.15	10.812	15347.	6.5160e-05	12.671	13.375	58.231	43.475	187.52	309.36	2.0142	53.216	0.074158	supercritical
313.15	10.836	15371.	6.5056e-05	12.661	13.366	58.197	43.439	186.39	310.37	2.0004	53.351	0.074233	supercritical
313.15	10.860	15396.	6.4954e-05	12.652	13.357	58.164	43.404	185.29	311.36	1.9868	53.486	0.074308	supercritical
313.15	10.884	15419.	6.4853e-05	12.643	13.348	58.131	43.369	184.21	312.35	1.9734	53.619	0.074383	supercritical
313.15	10.908	15443.	6.4754e-05	12.633	13.340	58.098	43.335	183.16	313.34	1.9602	53.752	0.074459	supercritical
313.15	10.932	15466.	6.4656e-05	12.624	13.331	58.066	43.302	182.12	314.31	1.9472	53.883	0.074534	supercritical
313.15	10.956	15489.	6.4560e-05	12.615	13.323	58.034	43.269	181.11	315.28	1.9344	54.013	0.074610	supercritical
313.15	10.980	15512.	6.4465e-05	12.607	13.314	58.002	43.237	180.12	316.24	1.9217	54.142	0.074685	supercritical
313.15	11.004	15535.	6.4371e-05	12.598	13.306	57.971	43.206	179.15	317.20	1.9093	54.270	0.074760	supercritical
313.15	11.028	15557.	6.4279e-05	12.589	13.298	57.940	43.175	178.19	318.15	1.8970	54.397	0.074836	supercritical
313.15	11.052	15579.	6.4188e-05	12.581	13.290	57.909	43.144	177.26	319.09	1.8849	54.523	0.074911	supercritical
313.15	11.076	15601.	6.4097e-05	12.572	13.282	57.879	43.114	176.34	320.03	1.8730	54.648	0.074987	supercritical
313.15	11.100	15623.	6.4009e-05	12.564	13.274	57.849	43.085	175.44	320.96	1.8612	54.772	0.075062	supercritical
313.15	11.124	15644.	6.3921e-05	12.555	13.266	57.819	43.056	174.56	321.88	1.8496	54.895	0.075137	supercritical
313.15	11.148	15666.	6.3834e-05	12.547	13.259	57.790	43.028	173.70	322.80	1.8382	55.017	0.075212	supercritical
313.15	11.172	15687.	6.3749e-05	12.539	13.251	57.760	43.000	172.85	323.71	1.8269	55.138	0.075288	supercritical
313.15	11.196	15707.	6.3664e-05	12.531	13.243	57.732	42.972	172.01	324.62	1.8157	55.258	0.075363	supercritical
313.15	11.220	15728.	6.3581e-05	12.523	13.236	57.703	42.945	171.20	325.52	1.8047	55.377	0.075438	supercritical
313.15	11.244	15748.	6.3498e-05	12.515	13.229	57.674	42.919	170.39	326.41	1.7939	55.496	0.075512	supercritical
313.15	11.268	15769.	6.3417e-05	12.507	13.221	57.646	42.893	169.60	327.30	1.7831	55.613	0.075587	supercritical
313.15	11.292	15789.	6.3336e-05	12.499	13.214	57.618	42.867	168.83	328.18	1.7726	55.730	0.075662	supercritical
313.15	11.316	15809.	6.3257e-05	12.491	13.207	57.591	42.841	168.07	329.06	1.7621	55.846	0.075736	supercritical
313.15	11.340	15828.	6.3178e-05	12.483	13.200	57.563	42.817	167.32	329.93	1.7518	55.961	0.075811	supercritical
313.15	11.364	15848.	6.3101e-05	12.476	13.193	57.536	42.792	166.58	330.80	1.7416	56.076	0.075885	supercritical
313.15	11.388	15867.	6.3024e-05	12.468	13.186	57.509	42.768	165.86	331.66	1.7316	56.189	0.075960	supercritical
313.15	11.412	15886.	6.2948e-05	12.461	13.179	57.482	42.744	165.15	332.52	1.7216	56.302	0.076034	supercritical
313.15	11.436	15905.	6.2873e-05	12.453	13.172	57.456	42.721	164.45	333.37	1.7118	56.414	0.076108	supercritical
313.15	11.460	15924.	6.2798e-05	12.446	13.166	57.430	42.698	163.77	334.22	1.7021	56.526	0.076181	supercritical
313.15	11.484	15943.	6.2725e-05	12.439	13.159	57.403	42.675	163.09	335.06	1.6925	56.636	0.076255	supercritical
313.15	11.508	15961.	6.2652e-05	12.431	13.152	57.378	42.652	162.43	335.90	1.6831	56.746	0.076329	supercritical
313.15	11.532	15979.	6.2581e-05	12.424	13.146	57.352	42.630	161.77	336.73	1.6737	56.856	0.076402	supercritical
313.15	11.556	15998.	6.2509e-05	12.417	13.139	57.327	42.609	161.13	337.56	1.6645	56.964	0.076475	supercritical
313.15	11.580	16016.	6.2439e-05	12.410	13.133	57.301	42.587	160.50	338.38	1.6553	57.072	0.076548	supercritical
313.15	11.604	16033.	6.2369e-05	12.403	13.127	57.276	42.566	159.88	339.20	1.6463	57.179	0.076621	supercritical
313.15	11.628	16051.	6.2301e-05	12.396	13.120	57.251	42.545	159.26	340.01	1.6374	57.286	0.076694	supercritical
313.15	11.652	16069.	6.2232e-05	12.389	13.114	57.227	42.525	158.66	340.82	1.6285	57.392	0.076767	supercritical
313.15	11.676	16086.	6.2165e-05	12.382	13.108	57.202	42.505	158.06	341.63	1.6198	57.497	0.076839	supercritical
313.15	11.700	16104.	6.2098e-05	12.375	13.102	57.178	42.485	157.48	342.43	1.6112	57.602	0.076912	supercritical
313.15	11.724	16121.	6.2032e-05	12.368	13.096	57.154	42.465	156.90	343.23	1.6026	57.706	0.076984	supercritical
313.15	11.748	16138.	6.1966e-05	12.362	13.090	57.130	42.445	156.34	344.02	1.5942	57.809	0.077056	supercritical
313.15	11.772	16155.	6.1902e-05	12.355	13.084	57.106	42.426	155.78	344.81	1.5858	57.912	0.077128	supercritical
313.15	11.796	16171.	6.1837e-05	12.348	13.078	57.083	42.407	155.23	345.59	1.5776	58.014	0.077199	supercritical
313.15	11.820	16188.	6.1774e-05	12.342	13.072	57.059	42.389	154.68	346.37	1.5694	58.116	0.077271	supercritical
313.15	11.844	16205.	6.1711e-05	12.335	13.066	57.036	42.370	154.15	347.15	1.5613	58.217	0.077342	supercritical
313.15	11.868	16221.	6.1648e-05	12.329	13.060	57.013	42.352	153.62	347.92	1.5533	58.318	0.077413	supercritical
313.15	11.892	16237.	6.1587e-05	12.322	13.055	56.990	42.334	153.10	348.69	1.5454	58.418	0.077484	supercritical
313.15	11.916	16253.	6.1525e-05	12.316	13.049	56.967	42.317	152.59	349.46	1.5376	58.517	0.077555	supercritical
313.15	11.940	16270.	6.1465e-05	12.310	13.043	56.944	42.299	152.08	350.22	1.5298	58.616	0.077626	supercritical
313.15	11.964	16285.	6.1405e-05	12.303	13.038	56.922	42.282	151.58	350.98	1.5221	58.714	0.077696	supercritical
313.15	11.988	16301.	6.1345e-05	12.297	13.032	56.900	42.265	151.09	351.73	1.5145	58.812	0.077767	supercritical
313.15	12.012	16317.	6.1286e-05	12.291	13.027	56.877	42.248	150.61	352.48	1.5070	58.910	0.077837	supercritical
313.15	12.036	16333.	6.1227e-05	12.285	13.021	56.855	42.231	150.13	353.23	1.4996	59.007	0.077907	supercritical
313.15	12.060	16348.	6.1169e-05	12.278	13.016	56.834	42.215	149.66	353.97	1.4922	59.103	0.077977	supercritical
313.15	12.084	16363.	6.1112e-05	12.272	13.011	56.812	42.199	149.19	354.71	1.4849	59.199	0.078046	supercritical
313.15	12.108	16379.	6.1055e-05	12.266	13.005	56.790	42.183	148.73	355.45	1.4777	59.294	0.078116	supercritical
313.15	12.132	16394.	6.0998e-05	12.260	13.000	56.769	42.167	148.28	356.18	1.4706	59.389	0.078185	supercritical
313.15	12.156	16409.	6.0942e-05	12.254	12.995	56.748	42.151	147.83	356.91	1.4635	59.484	0.078254	supercritical
313.15	12.180	16424.	6.0887e-05	12.248	12.990	56.726	42.136	147.39	357.64	1.4565	59.578	0.078323	supercritical
313.15	12.204	16439.	6.0832e-05	12.242	12.985	56.705	42.121	146.95	358.36	1.4495	59.671	0.078392	supercritical
313.15	12.228	16454.	6.0777e-05	12.236	12.980	56.684	42.106	146.52	359.08	1.4426	59.764	0.078460	supercritical
313.15	12.252	16468.	6.0723e-05	12.231	12.975	56.664	42.091	146.10	359.80	1.4358	59.857	0.078528	supercritical
313.15	12.276	16483.	6.0669e-05	12.225	12.970	56.643	42.076	145.68	360.52	1.4291	59.949	0.078597	supercritical
313.15	12.300	16497.	6.0616e-05	12.219	12.965	56.622	42.061	145.27	361.23	1.4224	60.041	0.078665	supercritical
313.15	12.324	16512.	6.0563e-05	12.213	12.960	56.602	42.047	144.86	361.93	1.4158	60.132	0.078733	supercritical
313.15	12.348	16526.	6.0511e-05	12.208	12.955	56.582	42.033	144.45	362.64	1.4092	60.223	0.078800	supercritical
313.15	12.372	16540.	6.0459e-05	12.202	12.950	56.561	42.019	144.06	363.34	1.4027	60.313	0.078868	supercritical
313.15	12.396	16554.	6.0407e-05	12.196	12.945	56.541	42.005	143.66	364.04	1.3963	60.403	0.078935	supercritical
313.15	12.420	16568.	6.0356e-05	12.191	12.940	56.521	41.991	143.27	364.74	1.3899	60.493	0.079002	supercritical
313.15	12.444	16582.	6.0306e-05	12.185	12.935	56.502	41.977	142.89	365.43	1.3835	60.582	0.079069	supercritical
313.15	12.468	16596.	6.0255e-05	12.179	12.931	56.482	41.964	142.51	366.12	1.3773	60.671	0.079136	supercritical
313.15	12.492	16610.	6.0205e-05	12.174	12.926	56.462	41.950	142.13	366.81	1.3710	60.759	0.079203	supercritical
313.15	12.516	16624.	6.0156e-05	12.168	12.921	56.443	41.937	141.76	367.49	1.3649	60.847	0.079269	supercritical
313.15	12.540	16637.	6.0106e-05	12.163	12.917	56.423	41.924	141.39	368.17	1.3588	60.935	0.079335	supercritical
313.15	12.564	16651.	6.0058e-05	12.158	12.912	56.404	41.911	141.03	368.85	1.3527	61.022	0.079401	supercritical
313.15	12.588	16664.	6.0009e-05	12.152	12.908	56.385	41.898	140.67	369.53	1.3467	61.109	0.079467	supercritical
313.15	12.612	16677.	5.9961e-05	12.147	12.903	56.366	41.886	140.32	370.20	1.3408	61.196	0.079533	supercritical
313.15	12.636	16691.	5.9913e-05	12.142	12.899	56.347	41.873	139.97	370.88	1.3349	61.282	0.079599	supercritical
313.15	12.660	16704.	5.9866e-05	12.136	12.894	56.328	41.861	139.62	371.55	1.3290	61.368	0.079664	supercritical
313.15	12.684	16717.	5.9819e-05	12.131	12.890	56.309	41.849	139.28	372.21	1.3232	61.453	0.079729	supercritical
313.15	12.708	16730.	5.9772e-05	12.126	12.885	56.291	41.837	138.94	372.88	1.3175	61.538	0.079795	supercritical
313.15	12.732	16743.	5.9726e-05	12.120	12.881	56.272	41.825	138.61	373.54	1.3118	61.623	0.079859	supercritical
313.15	12.756	16756.	5.9680e-05	12.115	12.877	56.254	41.813	138.27	374.19	1.3061	61.707	0.079924	supercritical
313.15	12.780	16769.	5.9634e-05	12.110	12.872	56.235	41.801	137.95	374.85	1.3005	61.792	0.079989	supercritical
313.15	12.804	16782.	5.9589e-05	12.105	12.868	56.217	41.789	137.62	375.50	1.2950	61.875	0.080053	supercritical
313.15	12.828	16794.	5.9544e-05	12.100	12.864	56.199	41.778	137.30	376.16	1.2894	61.959	0.080118	supercritical
313.15	12.852	16807.	5.9499e-05	12.095	12.859	56.181	41.766	136.98	376.81	1.2840	62.042	0.080182	supercritical
313.15	12.876	16820.	5.9454e-05	12.090	12.855	56.163	41.755	136.67	377.45	1.2786	62.124	0.080246	supercritical
313.15	12.900	16832.	5.9410e-05	12.085	12.851	56.145	41.744	136.36	378.10	1.2732	62.207	0.080309	supercritical
313.15	12.924	16845.	5.9366e-05	12.080	12.847	56.127	41.733	136.05	378.74	1.2678	62.289	0.080373	supercritical
313.15	12.948	16857.	5.9323e-05	12.075	12.843	56.109	41.722	135.75	379.38	1.2625	62.371	0.080436	supercritical
313.15	12.972	16869.	5.9280e-05	12.070	12.839	56.092	41.711	135.45	380.02	1.2573	62.452	0.080500	supercritical
313.15	12.996	16881.	5.9237e-05	12.065	12.835	56.074	41.700	135.15	380.65	1.2521	62.533	0.080563	supercritical
313.15	13.020	16894.	5.9194e-05	12.060	12.831	56.057	41.689	134.86	381.28	1.2469	62.614	0.080626	supercritical
313.15	13.044	16906.	5.9152e-05	12.055	12.827	56.039	41.679	134.56	381.91	1.2418	62.695	0.080688	supercritical
313.15	13.068	16918.	5.9110e-05	12.050	12.823	56.022	41.668	134.28	382.54	1.2367	62.775	0.080751	supercritical
313.15	13.092	16930.	5.9068e-05	12.045	12.819	56.005	41.658	133.99	383.17	1.2316	62.855	0.080814	supercritical
313.15	13.116	16942.	5.9026e-05	12.040	12.815	55.988	41.648	133.71	383.79	1.2266	62.934	0.080876	supercritical
313.15	13.140	16953.	5.8985e-05	12.036	12.811	55.971	41.637	133.43	384.41	1.2216	63.014	0.080938	supercritical
313.15	13.164	16965.	5.8944e-05	12.031	12.807	55.954	41.627	133.15	385.03	1.2167	63.093	0.081000	supercritical
313.15	13.188	16977.	5.8903e-05	12.026	12.803	55.937	41.617	132.87	385.65	1.2118	63.171	0.081062	supercritical
313.15	13.212	16989.	5.8863e-05	12.021	12.799	55.920	41.607	132.60	386.27	1.2069	63.250	0.081124	supercritical
313.15	13.236	17000.	5.8822e-05	12.017	12.795	55.903	41.597	132.33	386.88	1.2021	63.328	0.081185	supercritical
313.15	13.260	17012.	5.8782e-05	12.012	12.791	55.886	41.588	132.07	387.49	1.1973	63.406	0.081247	supercritical
313.15	13.284	17023.	5.8743e-05	12.007	12.788	55.870	41.578	131.80	388.10	1.1925	63.484	0.081308	supercritical
313.15	13.308	17035.	5.8703e-05	12.003	12.784	55.853	41.569	131.54	388.71	1.1878	63.561	0.081369	supercritical
313.15	13.332	17046.	5.8664e-05	11.998	12.780	55.837	41.559	131.28	389.32	1.1831	63.638	0.081430	supercritical
313.15	13.356	17058.	5.8625e-05	11.993	12.776	55.821	41.550	131.02	389.92	1.1785	63.715	0.081491	supercritical
313.15	13.380	17069.	5.8586e-05	11.989	12.773	55.804	41.540	130.77	390.52	1.1739	63.792	0.081551	supercritical
313.15	13.404	17080.	5.8548e-05	11.984	12.769	55.788	41.531	130.52	391.12	1.1693	63.868	0.081612	supercritical
313.15	13.428	17091.	5.8509e-05	11.980	12.765	55.772	41.522	130.27	391.72	1.1647	63.944	0.081672	supercritical
313.15	13.452	17102.	5.8471e-05	11.975	12.762	55.756	41.513	130.02	392.32	1.1602	64.020	0.081732	supercritical
313.15	13.476	17113.	5.8434e-05	11.971	12.758	55.740	41.504	129.78	392.91	1.1557	64.095	0.081792	supercritical
